time,log10_antibodies_mean,log10_antibodies_median,log10_antibodies_95ci_lower,log10_antibodies_95ci_upper,susceptibility_mean,susceptibility_median,susceptibility_95ci_lower,susceptibility_95ci_upper
32,3.416741466656221,3.417246808749805,2.8118770958109964,4.0180871038693295,0.12785631213460744,0.0973819955211117,0.016475582887602692,0.41337951591510896
33,3.4128389023455994,3.4134884314331995,2.807711359190964,4.014621595091632,0.12913121150094667,0.0984109162032368,0.01665057247571848,0.41651453624623724
34,3.409142715412359,3.4100747087674996,2.801654489718573,4.011753720557148,0.130354185987107,0.09935386374498528,0.016796765332872422,0.4210847708248902
35,3.405710901483882,3.406891757901922,2.796942590340081,4.0091582839940925,0.13150767615343076,0.10024029925296941,0.01693015754174564,0.4246495688119735
36,3.402021869826867,3.4031339492980486,2.7918472664871485,4.005972957794637,0.13275080945608517,0.10129587003352904,0.017095290605637716,0.42851328421982293
37,3.398076427781186,3.3993461534517615,2.787448468509923,4.002803875676812,0.13408360289865046,0.10236984363790666,0.017261151820404136,0.43185587008120013
38,3.394355503768088,3.39607830197669,2.7822137530868827,3.9990789027229403,0.13535778651198593,0.10330447287812988,0.017458129499184367,0.4358417396336598
39,3.390752988167174,3.3927157174822926,2.7770761813575433,3.9955336392240564,0.1366083892022876,0.10427407509341594,0.01764765271077026,0.4397617227522608
40,3.386945977797911,3.3891175035382153,2.7717013960501458,3.9914557407448052,0.1379348722419331,0.10532052110829046,0.017868149774408534,0.4438707501295996
41,3.3830209081893488,3.385075895977071,2.765962037534495,3.988348683686966,0.13930952811488376,0.10650695483877001,0.01803796580530671,0.44826697376057256
42,3.3792925820155113,3.3818693005183804,2.761632388185539,3.9858276856548014,0.14063346496717308,0.1074566271866238,0.018176914200319156,0.4515887876953254
43,3.375548831537008,3.3780132565266867,2.756640170776603,3.9818933551297655,0.14197434941455578,0.10860849820652022,0.018395861522793447,0.45542428468165075
44,3.371615632920934,3.374162640153985,2.751118099812149,3.977187691217872,0.14338908836768505,0.10976955246943812,0.018661134812018136,0.45967301295624796
45,3.3676758790084467,3.369853813731507,2.747350285379355,3.973899080313868,0.14481987247477515,0.1110816560168205,0.01884874993709779,0.4625754115870784
46,3.3639321747737116,3.366612504552217,2.743448772329426,3.9707756016599673,0.1461972198502441,0.11207771309124967,0.019028656710351463,0.46558346527836564
47,3.360077967781104,3.362320219294557,2.7375819924402824,3.9679713834757715,0.14762084853656302,0.11340873371252394,0.01919160872954922,0.4701113862608391
48,3.3560189035086267,3.3581832337813005,2.7304070345720906,3.964836816608749,0.1491273642641052,0.11470462391034833,0.019375369515102332,0.47565556601945214
49,3.352061041108203,3.3542042364942164,2.7268802184196574,3.9623997270299762,0.15061515113700408,0.11596316645988844,0.019519436072908757,0.4783830677654965
50,3.3483059736218346,3.350408408850483,2.723392544807289,3.958910466743655,0.1520450671616421,0.11717493743324603,0.019727530712770506,0.4810815696502799
51,3.344357118005328,3.346241793898592,2.719745195945819,3.9555485037491205,0.15355169342900532,0.11851770641509644,0.019930088220453227,0.48390478942928966
52,3.3401678569956683,3.3419987673420555,2.7155388948369334,3.950847157778801,0.15515382471456668,0.11989876798866841,0.02021676750997092,0.48716193233651056
53,3.336153871509789,3.3380065513307606,2.709574956379481,3.947136578849826,0.15671105313925127,0.12121086868813236,0.02044587458981772,0.4917819023253328
54,3.332354484629284,3.3346982658308133,2.7059339418406423,3.943859161914913,0.15820719668447208,0.122307538657698,0.02065035220896011,0.4946031580458218
55,3.3283115104554972,3.330508641015455,2.702187089102359,3.9398745525043366,0.15979950522379854,0.12370861218790319,0.02090164887170458,0.4975067799734615
56,3.3240164453472025,3.326250148392165,2.6961206167452025,3.9373498087347913,0.16149252395061794,0.12514682317351541,0.02106242189213261,0.502208260905393
57,3.3199913414003275,3.3220857806899358,2.6882565267077267,3.9335712131022924,0.1631051685332991,0.12656707796096076,0.02130530285879332,0.5083021819854956
58,3.316139205196694,3.3183808501498606,2.6815660953512213,3.9306865041780927,0.16466930719747597,0.12784220646961003,0.021492572136547136,0.5134847585900304
59,3.311996296279371,3.3139979405029036,2.67520154700356,3.927959249915407,0.16634998314826743,0.1293648157760136,0.02167109507657152,0.5184122249531568
60,3.307664691272925,3.310124746305082,2.6683357594174786,3.925121624286901,0.1681136720633624,0.1307231845653412,0.02185838191905823,0.5237237129907917
