time,r,susceptibility,cor
204,1.3004631183301198,0.6394078568919224,0.16474891709372144
205,1.306747184062144,0.6414938912993756,0.16692195206196378
206,1.3131272972491044,0.6435772208024861,0.1691076028038569
207,1.3196020657701788,0.6456570686578262,0.17130539056949448
208,1.3261705333490896,0.6477328942968701,0.17351479582358942
209,1.3328343415907224,0.6498054458563013,0.17573525761718478
210,1.3395940040982812,0.6518749354216877,0.1779662535865993
211,1.346447136047378,0.6539401839590144,0.18020731233713694
212,1.3533919751623509,0.6560003417905091,0.18245791796773111
213,1.3604306291426156,0.6580564568326068,0.18471748400335972
214,1.367564588860047,0.6601092893901453,0.18698544411223675
215,1.374791511492503,0.6621577652971156,0.18926127501036125
216,1.382109645945329,0.6642011226358269,0.19154442430106788
217,1.389520351059698,0.6662401162723102,0.19383431990223596
218,1.3970232193073122,0.6682746680214766,0.19613042771420647
219,1.4046158425649575,0.6703037643816309,0.19843220838565281
220,1.4122985705149491,0.6723277332308257,0.20073907276147526
221,1.4200724896985473,0.6743472680349021,0.2030504407866972
222,1.4279357799074142,0.67636169717153,0.20536577843605497
223,1.4358861930850946,0.6783701723033433,0.2076845340441704
224,1.443924380609169,0.6803732388484658,0.21000611074444178
225,1.4520508924311732,0.6823714075325813,0.21232993384431037
226,1.460263351097212,0.684363830116271,0.21465547914851968
227,1.468559577822675,0.686349778877131,0.2169822224621588
228,1.476939431363244,0.6883295022983144,0.21930960445015432
229,1.485403217668561,0.6903034723915069,0.22163705258621955
230,1.4939499353402101,0.6922715682488698,0.22396400519765824
231,1.5025780666061097,0.6942334498616644,0.22628990737990615
232,1.511286567535772,0.6961890174868531,0.2286142088509172
233,1.5200741584520772,0.6981380822058836,0.2309363673113631
234,1.5289396360722896,0.7000805101422557,0.23325584950183853
235,1.537881430552119,0.7020160193861212,0.23557210756829638
236,1.5468991382483797,0.7039448797358306,0.23788457806186666
237,1.555991734618566,0.7058670933461231,0.2401927074870612
238,1.5651573580651699,0.7077823009641241,0.24249595495696952
239,1.5743942633206993,0.7096902173055712,0.24479376108763223
240,1.5837017607268378,0.7115910518926777,0.24708553311744866
241,1.5930791525842558,0.7134850246132526,0.2493706791707869
242,1.6025243377912564,0.7153717424191558,0.25164863852148045
243,1.6120343243307258,0.7172504371843015,0.25391883585454855
244,1.6216081863576315,0.7191212832271648,0.25618063200474916
245,1.6312460124673809,0.720984916824993,0.25843335433492787
246,1.6409456999894432,0.7228410160997538,0.2606763154235498
247,1.6507048441561303,0.7246891461545186,0.262908772634172
248,1.6605226284202483,0.7265295879537476,0.26512991932765073
249,1.6703974327893654,0.7283622831871812,0.26733890678688615
250,1.6803265290850324,0.7301867073525415,0.2695348181665108
251,1.6903078747092797,0.7320026543587771,0.2717166001783644
252,1.7003412550588786,0.733810723971602,0.2738830544960123
253,1.7104250222982342,0.7356109051257479,0.27603285776876113
254,1.7205558356132589,0.7374024748148554,0.2781644987045536
255,1.7307322399181075,0.7391855386707228,0.2802761981526789
256,1.740953671606687,0.7409605932692479,0.2823658973125633
257,1.7512172580963308,0.7427271616502082,0.28443121788571474
258,1.761520076873506,0.7444847647441588,0.28646934774500205
259,1.771860813744911,0.7462336196147713,0.2884769279557592
260,1.782238142420123,0.7479739470072899,0.29044995716723465
261,1.7926496896677928,0.7497055381913557,0.2923836470163709
262,1.8030932380086995,0.7514282633984735,0.2942722265871489
263,1.813567656250029,0.7531424566161697,0.2961087813962067
264,1.8240704751691539,0.7548479039396591,0.29788489792732864
265,1.834598215509772,0.7565439881039469,0.29959047312400366
