time,antibodies,susceptibility
144,953.1004018237176,0.18355184437410588
145,942.8226472638465,0.18574634843425597
146,933.2316494465823,0.18783440629911752
147,923.642330050724,0.18996193608562997
148,913.7280875930694,0.19220456006114153
149,903.7844346645234,0.19449895459038108
150,894.5736236445158,0.19666566131792487
151,885.6721664289116,0.19879843568692673
152,876.1884368065755,0.20111382201902026
153,866.1206950697436,0.2036217688985091
154,856.3863648786574,0.20609698014887756
155,847.9619924375727,0.20828012335960977
156,839.266408793721,0.2105745142729595
157,829.8748614996708,0.2131004959287801
158,820.9366476067137,0.21555203265913433
159,812.5202592615992,0.21790390187873634
160,803.7892963758002,0.2203893773467714
161,794.9335964211878,0.2229591458565285
162,786.5770991788455,0.22543028880198734
163,778.2816439719767,0.22792893436756692
164,769.8000724397702,0.23053177093811605
165,761.2807632231478,0.2331964544382496
166,753.1931875228386,0.23577392266624717
167,745.4210299295663,0.2382958725928038
168,737.408571402564,0.24094312596031414
169,729.0312253239623,0.24376362492748216
170,720.6255383563816,0.24664922468240763
171,712.9412381271641,0.24933714157496
172,705.6561358740975,0.25193059345413166
173,697.89407407341,0.25474340368501797
174,689.8793652443402,0.25770276703699124
175,682.5559087096357,0.260456978859655
176,675.3149737309878,0.26322834292666647
177,667.7777864397742,0.266165225832129
178,660.2844458261744,0.2691390372501817
179,653.2793643291423,0.2719689776176402
180,646.2333661640495,0.2748652611256739
181,638.963415163027,0.27790722074301366
182,631.6954825812002,0.2810040976739864
183,624.979573739376,0.2839165138240456
184,618.5246080865046,0.28676278800568733
185,611.6354348751478,0.28985253143258893
186,604.2760541639163,0.2932138956419598
187,597.0988418616085,0.29655398196478067
188,590.9543190876126,0.29946323312813083
189,584.703102661428,0.30247117129873113
190,577.9351580952365,0.305783750391003
191,571.4503454883405,0.30901362531811816
192,565.3234460511618,0.3121166211344189
193,559.0148355866394,0.31536498452930994
194,552.6635279292052,0.3186912231164854
195,546.5918124624684,0.3219246380560828
196,540.5476167941807,0.32519658741602464
197,534.4749546235971,0.32853855891853107
198,528.4304527102795,0.33192058333351976
199,522.4932885415914,0.3352976818703105
200,516.4949395938243,0.33876627861973996
201,510.69118757950264,0.34217776248535864
202,505.173760063773,0.345472544848492
203,499.76866601683435,0.3487500154303734
204,494.05898779166455,0.35226676653221467
205,488.2166471595344,0.35592449599811565
206,482.8085272322157,0.3593649200363128
207,477.58716315273693,0.36273730815177757
208,471.97022562892903,0.36642200078073484
209,466.558288064812,0.37002903718464003
210,461.4878040336856,0.373460109042442
211,456.2210976504781,0.377077864324358
212,450.7715339951542,0.380880186699004
213,445.76661188081926,0.3844261341242924
214,441.0770327762423,0.38779635171420496
215,435.8797531485371,0.391586338562639
216,430.5365689570874,0.3955440495300469
217,425.87388473644177,0.3990494833648529
218,421.54628022056835,0.40234695212839233
219,416.4202317113398,0.4063085166428137
220,411.35896003475153,0.41028037776033816
221,406.98551758596676,0.41376164685955724
222,402.5624353482661,0.4173296155809416
223,397.608095853936,0.4213834507402769
224,393.05548507227786,0.42516290623331243
225,388.81158370013515,0.42873374916664314
226,384.1810426818829,0.4326832691225572
227,379.65284396756596,0.43660025021203863
228,375.483966644122,0.4402550747173978
229,371.22391213743856,0.4440388072966075
230,366.7108038719655,0.44810217158552956
231,362.5338648475729,0.45191398034122343
232,358.65334248997567,0.45549999953332876
233,354.41607188960995,0.45946563234229365
234,350.06244761393424,0.46359529673400546
235,346.1931963214278,0.4673131271607494
236,342.54328189868806,0.4708618794572299
237,338.3364266725075,0.47500304553244677
238,334.2364477694507,0.47909222486999686
239,330.6360186168868,0.48272711894671005
240,326.96742934625394,0.48647367634522304
241,322.901286317234,0.49067746052486877
242,319.16792724327127,0.4945852696611525
243,315.71501634042994,0.49824103902714234
244,311.92577781131956,0.5022993995697388
245,308.1727125012947,0.5063676043915384
246,304.75367487460477,0.5101163596342567
247,301.31060101636564,0.5139330421355278
248,297.5966794192434,0.5180972986391053
249,294.1409124288547,0.5220167534842467
250,290.9543196555201,0.5256695100246295
251,287.50730170411697,0.5296629499927138
252,283.9535192212562,0.5338264671809164
253,280.765334930905,0.5376021825031627
254,277.7410452799914,0.541219594568228
255,274.30738733222285,0.5453693403114003
256,270.9767684507909,0.5494383687893291
257,268.02210345305656,0.5530845712926239
258,265.000624049284,0.5568490328767253
259,261.6799126275236,0.5610284633769393
260,258.63170907505713,0.5649041392681846
261,255.81974193210047,0.5685130410109054
262,252.72827880041467,0.5725181734243199
263,249.6436317563697,0.5765539774883154
264,246.850150857426,0.5802431639660046
265,244.0644341523059,0.5839548457187083
266,241.02416187423952,0.5880433044370915
267,238.18605242227187,0.5918955897568734
268,235.58258670771045,0.5954599056830344
269,232.7813303161127,0.599327850031736
270,229.8851197173652,0.6033629358051781
271,227.2746498538872,0.6070315089276486
272,224.7919245095677,0.6105485133860984
273,221.99640496897172,0.6145414257837306
274,219.29237498619486,0.6184369091449574
275,216.87821619087148,0.6219425698298638
276,214.40178880377428,0.6255660064485778
277,211.69956496500444,0.6295515751674652
278,209.22038211401204,0.633237453578114
279,206.93225417740936,0.6366642487116212
