time,log10_antibodies_mean,log10_antibodies_median,log10_antibodies_95ci_lower,log10_antibodies_95ci_upper,susceptibility_mean,susceptibility_median,susceptibility_95ci_lower,susceptibility_95ci_upper
95,3.1550120898296323,3.1636677826261748,2.4312161231749942,3.810932786149866,0.40189530912345606,0.3758102319849499,0.07489004458544346,0.8536137357010172
96,3.150568521148293,3.159426314453467,2.423069185596821,3.8084309767959317,0.40460298178413534,0.37889957883402037,0.07542914014340729,0.8567414769942654
97,3.145925131896065,3.1554669533799045,2.417616210267051,3.8054108477604247,0.4074286519862499,0.38179234402293805,0.07608467064566575,0.8588037353486067
98,3.1411549576020783,3.151158443630585,2.4098836255431384,3.8018278592280597,0.4103275300695089,0.3849497476928481,0.07686915239653414,0.861685550597934
99,3.1365858453466053,3.146787705236007,2.4052468067948642,3.7982567950222075,0.41310608071714905,0.3881626832893939,0.07765839113936762,0.8633898180353811
100,3.1320719543621336,3.1426454231692054,2.3976214971138794,3.7951461759752108,0.4158515407935869,0.39121668498039674,0.07835190839907279,0.8661540476968499
101,3.127389915554875,3.138326058362245,2.3897018588510033,3.7914685396587053,0.4186967026564464,0.3944103418433411,0.07917915755899409,0.868974774144136
102,3.1226352744974832,3.133898988518932,2.382250992349093,3.78871216713922,0.4215844769418809,0.39769301723446193,0.07980439366852256,0.8715822792017935
103,3.118000501814772,3.1295925159418205,2.3744498537183536,3.784577855540881,0.424398964285237,0.4008951268136256,0.08075065780251486,0.8742648248673175
104,3.1133693551499433,3.1249789567238846,2.365752169377716,3.7810604152098057,0.4272076695957704,0.40433498085099795,0.08156379799638326,0.8771989453344267
105,3.108656553796243,3.120745471633238,2.3587851309547005,3.777312414388664,0.43006338475623423,0.4074997534255581,0.08243844583022304,0.8795066005492662
106,3.1039414937651264,3.1163270753139223,2.3531889737129794,3.775156871793513,0.4329193120632941,0.41081095811083423,0.0829452596577855,0.8813329893622107
107,3.0992910254727457,3.1121961907100513,2.3470111079878873,3.7724898499970014,0.4357326097843468,0.41391402972054836,0.08357632321206125,0.8833213499563877
108,3.0945970627279396,3.107258029782632,2.340277407068127,3.768509465224876,0.43856885975344767,0.41763248792855234,0.08452627044260062,0.8854556236532913
