time,R,COR,IOR,SOR
257,1.7750489456561347,0.3491423828962961,0.3100517077610772,
258,1.7920883091822402,0.3524856777258958,0.3141785056364667,
259,1.8091910046234545,0.35579058461136487,0.3182532213200338,
260,1.8263518223330697,0.3590567507550983,0.322275659378696,
261,1.843565534959769,0.3622838603025023,0.3262456711275215,
262,1.860826899039935,0.3654716326951059,0.3301631518429809,
263,1.8781306565948528,0.3686198210506429,0.33402803808423925,
264,1.8954715367323467,0.3717282105732625,0.33784030512138324,
265,1.9128442572523419,0.3747966169965749,0.34159996446913415,
266,1.9302435262558744,0.3778248850618483,0.3453070615243264,
267,1.9476640437570556,0.38081288703329036,0.34896167330516026,
268,1.9651005032974984,0.3837605212520051,0.3525639062900474,
269,1.9825475935627166,0.38666771072990014,0.3561138943536769,
270,1.9999999999999998,0.38953440178452586,0.35961179679779254,0.44
271,2.017452406437283,0.39236056271556563,0.3630577964740563,
272,2.034899496702501,0.3951461825234578,0.3664520979962758,
273,2.0523359562429437,0.3978912696704109,0.36979492603921066,
274,2.069756473744125,0.4005958508838763,0.37308652372112766,
275,2.0871557427476577,0.4032599700023776,0.3763271510672401,
276,2.104528463267653,0.4058836868634265,0.37951708355115954,
277,2.1218693434051477,0.40846707623313216,0.3826566107114886,
278,2.1391731009600656,0.41101022677697574,0.3857460348406985,
279,2.1564344650402307,0.4135132400711316,0.38878566974346196,
280,2.17364817766693,0.4159762296536099,0.39177583956164846,
281,2.1908089953765444,0.41839932011442876,0.394716877663227,
282,2.2079116908177587,0.42078264622395106,0.39760912559238565,
283,2.224951054343865,0.42312635209846916,0.4004529320782189,
284,2.2419218955996674,0.4254305904020727,0.4032486520994036,
285,2.258819045102521,0.42769552158380014,0.4059966460023573,
286,2.2756373558169996,0.42992131314904436,0.4086972786704216,
287,2.2923717047227368,0.43210813896416467,0.4113509187417085,
288,2.3090169943749475,0.43425617859324,0.4139579378733035,
289,2.3255681544571565,0.4363656166658918,0.41651871004960367,
290,2.342020143325668,0.438436642275102,0.41903361093263886,
291,2.3583679495452996,0.4404694484039517,0.4215030172523049,
292,2.374606593415912,0.44246423138021407,0.4239273062345065,
293,2.3907311284892736,0.44442119035773947,0.4263068550652924,
294,2.4067366430758006,0.446340526823593,0.42864204038912956,
295,2.4226182617406997,0.4482224441299065,0.43093323783954157,
296,2.4383711467890774,0.4500671470494388,0.4331808216004114,
297,2.4539904997395467,0.4518748413538436,0.43538516399631166,
298,2.4694715627858903,0.4536457334136787,0.43754663511030456,
299,2.4848096202463363,0.45538002981920245,0.4396656024277096,
300,2.5,0.45707793702103283,0.4417424305044161,0.42
301,2.5150380749100543,0.45873966098976715,0.4437774806583675,
302,2.5299192642332047,0.4603654068936865,0.4457711106829208,
303,2.5446390350150265,0.4619553787936913,0.44772367458083046,
304,2.559192903470746,0.4635097793546474,0.4496355223176747,
305,2.573576436351046,0.4650288095723393,0.4515069995935929,
306,2.587785252292473,0.4665126685152611,0.4533384476322586,
307,2.601815023152048,0.46796155308049675,0.45513020298606227,
308,2.6156614753256586,0.4693756577629682,0.4568825973565316,
309,2.6293203910498377,0.4707551744373574,0.4585959574290629,
310,2.6427876096865393,0.47210029215203086,0.4602706047210828,
311,2.656059028990507,0.4734111969343202,0.46190685544280413,
312,2.669130606358858,0.47468807160653925,0.4635050203697841,
313,2.681998360062498,0.47593109561213814,0.4650654047265315,
314,2.694658370458997,0.4771404448514194,0.466588308080445,
315,2.7071067811865475,0.4783162915262646,0.46807402424541283,
316,2.719339800338651,0.47945880399334084,0.46952284119442583,
317,2.7313537016191707,0.48056814662527525,0.4709350409805974,
318,2.7431448254773945,0.48164447967931284,0.47231089966601775,
319,2.754709580222772,0.4826879591729829,0.4736506872578925,
320,2.766044443118978,0.48369873676632746,0.4749546676514565,
321,2.7771459614569705,0.4846769596502601,0.4762230985791674,
322,2.7880107536067213,0.4856227704406347,0.47745623156572636,
323,2.798635510047293,0.48653630707763573,0.4786543118884838,
324,2.8090169943749475,0.48741770273010127,0.47981757854281876,
325,2.8191520442889915,0.4882670857044154,0.480946264212111,
326,2.829037572555041,0.48908457935762073,0.48204059524192483,
327,2.838670567945424,0.48987030201440945,0.4831007916180748,
328,2.8480480961564254,0.4906243668876753,0.48412706694823027,
329,2.857167300702112,0.49134688200230947,0.48511962844676554,
330,2.8660254037844384,0.4920379501219473,0.48607867692255335,0.46
331,2.874619707139396,0.4926976686783726,0.48700440676943657,
332,2.882947592858927,0.4933261297033083,0.48789700595911584,
333,2.891006524188368,0.4939234197623225,0.48875665603621504,
334,2.8987940462991673,0.4944896198905955,0.4895835321152915,
335,2.9063077870366496,0.4950248055302982,0.4903778028795817,
336,2.9135454576426008,0.49552904646934015,0.49113963058128024,
337,2.92050485345244,0.49600240678125823,0.49186917104316025,
338,2.9271838545667874,0.49644494476601525,0.49256657366136264,
339,2.9335804264972016,0.496856712891492,0.49323198140918717,
340,2.9396926207859084,0.49723775773545653,0.4938655308417263,
341,2.9455185755993165,0.4975881199278022,0.49446735210120335,
342,2.9510565162951536,0.49790783409284867,0.4950375689228726,
343,2.9563047559630355,0.498196928791503,0.4955762986413618,
344,2.961261695938319,0.4984554264630833,0.4960836521973337,
345,2.965925826289068,0.4986833433666067,0.4965597341443574,
346,2.9702957262759964,0.49888068952134446,0.49700464265589667,
347,2.9743700647852354,0.49904746864645105,0.4974184695323072,
348,2.9781476007338057,0.49918367809946856,0.4978013002077681,
349,2.9816271834476638,0.49928930881350764,0.4981532137570638,
350,2.984807753012208,0.4993643452329099,0.49847428290214046,
351,2.9876883405951378,0.4994087652471805,0.49876457401837604,
352,2.99026806874157,0.49942254012298753,0.4990241471404986,
353,2.992546151641322,0.4994056344340122,0.4992530559681014,
354,2.9945218953682735,0.49935800598842783,0.49945134787070405,
355,2.9961946980917453,0.49927960575377445,0.49961906389231875,
